,To work (min),From work (min)
2017-07-03 17:46:38.176,36.55,37.5333333333
2017-07-03 17:51:39.915,36.6,37.4333333333
2017-07-03 17:56:41.626,36.2833333333,37.3166666667
2017-07-03 18:01:43.408,36.6,37.5166666667
2017-07-03 18:06:45.142,36.3666666667,37.5166666667
2017-07-03 18:11:46.891,36.5666666667,37.35
2017-07-03 18:16:48.613,36.65,37.1666666667
2017-07-03 18:21:50.388,37.0833333333,37.2166666667
2017-07-03 18:26:52.077,36.5333333333,37.3166666667
2017-07-03 18:31:53.922,36.4,37.3
2017-07-03 18:36:55.614,36.3666666667,37.2833333333
2017-07-03 18:41:57.679,36.1833333333,37.1166666667
2017-07-03 18:46:59.536,35.8666666667,37.4833333333
2017-07-03 18:52:01.395,36.3166666667,37.5666666667
2017-07-03 18:57:03.185,35.65,37.4666666667
2017-07-03 19:02:05.089,36.0666666667,37.5
2017-07-03 19:07:06.933,36.25,37.7833333333
2017-07-03 19:12:08.713,36.5333333333,37.4833333333
2017-07-03 19:17:10.485,36.4666666667,37.3166666667
2017-07-03 19:22:12.923,36.2666666667,37.4166666667
2017-07-03 19:27:14.541,36.85,37.3666666667
2017-07-03 19:32:16.245,36.9833333333,37.5833333333
2017-07-03 19:37:17.960,36.3,37.6166666667
2017-07-03 19:42:19.549,36.2166666667,37.65
2017-07-03 19:47:22.016,36.1166666667,37.6666666667
2017-07-03 19:52:23.698,36.0,37.6833333333
2017-07-03 19:57:25.543,36.0333333333,37.7666666667
2017-07-03 20:02:27.211,36.0,37.8
2017-07-03 20:07:28.877,35.9333333333,37.6666666667
2017-07-03 20:12:30.918,36.4333333333,37.3666666667
2017-07-03 20:17:32.752,35.9333333333,37.4
2017-07-03 20:22:34.618,36.5166666667,37.4333333333
2017-07-03 20:27:36.569,35.8666666667,37.3833333333
2017-07-03 20:32:38.336,36.0166666667,37.35
2017-07-03 20:37:40.204,36.1333333333,37.6
2017-07-03 20:42:41.876,36.25,37.45
2017-07-03 20:47:43.883,36.1166666667,37.3666666667
2017-07-03 20:52:45.673,36.7,37.4
2017-07-03 20:57:48.423,36.45,37.6
2017-07-03 21:02:50.266,36.2333333333,37.6166666667
2017-07-03 21:07:51.941,36.3666666667,37.4
